anakjakartaasikasik,anak jakarta asyik asyik
gegra,gegara
brita,berita
fotbar,foto bareng
wajarrr,wajar
bingiittt,banget
cantik2nya,cantik cantiknya
mancungin,memancungkan
idung,hidung
kusem,kusam
drpada,daripada
kmar,kamar
diemm,diam
tnggu,tunggu
ketawain,mentertawakan
yaelahhh,alah
ampuun,ampun
ngelakuin,melakukan
gedeg,gedek
muka2,muka muka
eey,eh
kslahan,kesalahan
perhatiam,perhatian
mkir,memikir
apalai,apalagi
bkal,bakal
saat2,saat saat
nyadar,menyadari
bka,buka
berani2,berani berani
lucuuuuu,lucu
gemmeeezzz,gemas
sukam,suka
menghilangkn,menghilangkan
mnjdkan,menjadikan
soalx,soalnya
keche,kece
badaii,badai
btuh,butuh
ktanya,katanya
bebrp,beberapa
sblum,sebelum
santab,santap
salehah,salihah
subhannallah,subhanallah
konsul,konsultasi
pengalam,pengalaman
poko,pokok
trun,turun
kuninggg,kuning
pinkkkk,merah muda
warnany,warnanya
senangat,semangat
msknya,masaknya
kerennnn,keren
ciptain,ciptakan
bagussss,bagus
sayangkuh,sayangku
gans,ganteng
babget,banget
dihh,ih
jadu,jadi
ksyngn,kesayangan
haru,harus
narik,menarik
gokilll,gila
astagaaaa,astaga
hancuuuuuy,hancur
mattihhh,mati
beudd,banget
termiribkan,termiripkan
wenakk,enak
nganteng,ganteng
abanggg,abang
seksii,seksi
gtuh,begitu
jadii,jadi
emeezzz,gemas
amohhh,kamu
maau,mau
eyke,aku
gilakkkkk,gila
awk,awak
duhhhhh,duh
wowww,wow
liaatt,lihat
iniiiii,ini
aloh,allah
ngettt,banget
maso,masa
brubah,berubah
pelastik,plastik
keak,kayak
dengerin,dengarkan
pahamin,pahami
takuuuuut,takut
ahahahanjirrr,anjir
jogetin,berjoget
shaay,say
boker,berak
pacarnyaa,pacarnya
siapaa,siapa
matii,mati
ketawaa,ketawa
wanjiir,anjir
minta,meminta
bnran,benaran
uitnya,duitnya
beliiin,belikan
yaaah,ya
sekaeang,sekarang
tanyain,tanyakan
jatuhnyaa,jatuhnya
tipu2nya,tipu tipunya
doaang,doang
kaj,kakak
wahhhhhh,wah
iiiiiiiii,ih
kaliiiiiii,kali
melebihin,melebihi
gakpapa,enggak apa apa
kalogak,kalau enggak
kaaaaa,kakak
aamiinnn,amin
skluarga,sekeluarga
suaminga,suaminya
berhijap,berhijab
smgaa,semoga
istiqamah,istikamah
cuaaantikk,cantik
muraaaaah,murah
baraang,barang
aamiiin,amin
bets,banget
alhamdulillaaaaah,alhamdulillah
pengrusak,perusak
ngoceh,mengoceh
aduhhh,aduh
hpus,hapus
pjang,pajang
bdampingan,berdampingan
uih,weh
bgtuu,begitu
mff,maaf
ktwa,ketawa
jjur,jujur
semogaa,semoga
kepelesett,terpeleset
geeelaakk,gila
bolang,bocah petualang
pkek,pakai
lagihh,lagi
hedeuuhh,aduh
saltummmm,salah kostum
mboizzz,bois
suda,sudah
kayaq,kayak
ema,emak
dirumahny,di rumahnya
apus,hapus
siapayahh,siapa ya
kostom,kostum
gnii,begini
atuu,satu
pipinyaaa,pipinya
bungkuuuuuuuuusss,bungkus
iiiihhhhhj,ih
emeessss,gemas
pipine,pipinya
glembeeeer,gelambir
lucunaaa,lucunya
cubanget,lucu banget
pengenn,ingin
unyuuk,unyu
lucunyah,lucunya
mantaaap,mantap
keduaa,kedua
seterong,kuat
teyuss,terus
dimasukin,dimasuki
jelekin,menjelekkan
jahatin,menjahati
qo,kok
nyebutin,menyebutkan
ngertiin,mengerti
rasaiin,rasai
gakusah,enggak usah
disni,di sini
sabarrr,sabar
semangaatttt,semangat
nyalahin,menyalahkan
bedainnya,membedakannya
krus,kurus
elaaaahhhh,alah
cogan,cowok ganteng
tap8,tapi
pandanginya,memandanginya
kenaliiin,kenalkan
suko,suka
niih,nih
sihhhh,sih
segtu,sebegitu
ngebenci,membenci
bakar2in,bakar bakari
padhe,pakde
yya,iya
dosa2mu,dosa dosamu
maafin,maafkan
dalem2,dalam dalam
bahas2,bahas bahas
hianatin,khianati
halangin,halangi
iyuh,ih
iyuuuhhhh,ih
gaje,enggak jelas
adapin,menghadapi
ngehakimi,menghakimi
ngejuangin,memperjuangkan
dipojokin,dipojokkan
bacotin,bacot
berati,berarti
kebangetak,kebangetan
sadis2,sadis sadis
maksir,menaksir
hebatt,hebat
pndang,pandang
pmbelajaran,pembelajaran
ngejelek,menjelekkan
maslah,masalah
mmperbaiki,memperbaiki
kafeh,kafe
remang2,remang remang
iyuuhhh,ih
dipuja2,dipuja puja
ngrasain,merasakan
ityl,itil
marah2,marah marah
wenak,enak
hadeeehhh,aduh
gmanapun,bagaimanapun
taux,taunya
urat2nya,urat uratnya
ketarik,tertarik
ngorbanin,mengorbankan
eksprsi,ekspresi
gitulah,begitulah
mamas,mas
tua2,tua tua
badingkan,membandingkan
lanjutin,lanjutkan
brantem,berantem
belain,membela
lipetan,lipatan
bneraan,benaran
rmbuut,rambut
nt,nanti
walik,balik
oma2,oma oma
kellen,kalian
nyerocos,mencerocos
ibuk2,ibu ibu
ngomenin,mengomentari
iseng2,iseng iseng
sexi2,sexy sexy
hat,hati
jilbabnye,jilbabnya
ledkin,ledeki
digabtikan,digantikan
ngumung,mengomong
ilangin,hilangkan
prinadi,pribadi
yep,ya
palingann,palingan
berjinah,berzina
munaafikk,munafik
trganggu,terganggu
bhijab,berhijab
lepasin,melepas
smentara,sementara
ursan,urusan
sudab,sudah
dwsa,dewasa
rpt2,repot repot
romantiz,romantis
murmer,murah meriah
pensaran,penasaran
baru2,baru baru
yuukk,ayo
kitaaa,kita
lainnyaa,lainnya
penyebab2,penyebab penyebab
nyupir,menyopir
steess,stres
kwatir,kawatir
tengah2,tengah tengah
duetin,duet
mudaa,muda
silsturahmi,silaturahmi
dijkt,di jakarta
cums,cuma
undangan2,undangan undangan
past,pasti
ayukk,yuk
filmny,filmnya
nobar,menonton bareng
kemariin,kemarin
knpp,kenapa
lggi,lagi
gaprgi,enggak pergi
aaahh,ah
dtunggu,ditunggu
masa2,masa masa
kepikir,terpikir
seruuu,seru
emeshh,gemas
kaya,kayak
pacarn,pacaran
ktg,kita
pacaranya,pacarannya
mbaak,mbak
ngalah,mengalah
pacarane,pacarannya
rusakkk,rusak
mukae,mukanya
ultahe,ultahnya
kliatanya,kelihatannya
pcaranya,pacarannya
bermaksut,bermaksud
tampialannya,tampilannya
nikaah,nikah
pankapan,kapan kapan
ngumbar,mengumbar
dhpusin,dihapuskan
istiqomah,istikamah
mnutup,menutup
bngatt,banget
dii,di
ooh,oh
hapusin,hapuskan
lohhh,lo
sneng,senang
mutusin,memutuskan
ngapus,menghapus
awl,awal
bngkit,bangkit
mncoba,mencoba
wahhh,wah
mutuain,memutuskan
smw,semua
uuh,uh
ngirim,mengirim
sampis,sampah habis
ngebala,bala
hrusnya,harusnya
sabal,sabar
kauuuu,kau
sabaro,sabar
eehhh,eh
iiii,ih
kreative,kreatif
bangrt,banget
kuaaatt,kuat
bhet,banget
inggrisny,inggrisnya
dsna,disana
iyaap,iya
canyk,cantik
prodac,produk
nyesell,menyesal
ciyusss,serius
cyin,cinta
sexi,sexy
bangget,banget
bettt,banget
alaami,alami
banggett,banget
thnan,tahunan
cuantik,cantik
segerr,segar
wouww,wow
catokin,catok
ikut2an,ikut ikutan
comment2nya,komen komennya
teman2,teman teman
besar2an,besar besaran
knsul,konsultasi
brhasil,berhasil
kontak2,kontak kontak
dptnya,dapatnya
applikasi,aplikasi
bngeet,banget
ongkiir,ongkos kirim
ganteung,ganteng
bhgia,bahagia
lucuukk,lucu
keciil,kecil
yakinn,yakin
pentass,pentas
lucu2,lucu lucu
testinya,testimoninya
mengirusi,mengurusi
khdpn,kehidupan
ngelawan,melawan
bisax,bisanya
klmbutan,kelembutan
seburuk2,seburuk buruk
diingetin,diingatkan
akhlah,akhlak
elo2,lu lu
mandiin,memandikan
nguburin,menguburkan
ngebedain,membedakan
urusanny,urusannya
tuhanny,tuhannya
brtngkar,bertengkar
pndapat,pendapat
looh,lo
sharusnya,seharusnya
mngkannya,makanya
nyia2in,menyia nyiakan
mndpat,mendapat
kpuasan,kepuasan
sgampang,segampang
mlepaskan,melepaskan
trll,terlalu
sellow,santai
sbbrnya,sebenarnya
kasar2,kasar kasar
banyaak,banyak
bujukk,bujuk
benetaran,benaran
si,sih
kraya,karya
ngebantu,membantu
janjutin,lanjutkan
kepppoin,kepoi
recommendasi,rekomendasi
btulan,betulan
kha,kah
s,si
ithu,itu
botakin,botaki
gawul,gaul
modes,modis
kcantikan,kecantikan
bronis,berondong manis
bkln,bakalan
kecantikanga,kecantikannya
deeh,deh
zama,zaman
nmnya,namanya
tapo,tapi
gkk,enggak
petinggi2,petinggi petinggi
wota2,wota wota
indefendet,independen
tempat2,tempat tempat
yuuuukkk,yuk
dituutup,ditutup
smvk,sempak
knyataan,kenyataan
njrittt,anjir
selmt,selamat
taz,atas
klhran,kelahiran
pertma,pertama
kelahuran,kelahiran
pertamany,pertamanya
mamax,mamanya
ankx,anaknya
cantip,cantik
klahiran,kelahiran
mmbanggakan,membanggakan
ortuny,orang tuanya
selmat,selamat
bnda,bunda
nyah,nya
prtamax,pertamanya
moqa,moga
yq,yang
brbakti,berbakti
basodaraa,bersaudara
hargs,harga
perhatiin,perhatikan
bantuim,bantu
pelwak,pelawak
suces,sukses
sucses,sukses
garemin,garami
ngiringan,mengiringi
teruz,terus
kemarn,kemarin
recomendasinya,rekomendasinya
promoo,promo
ongkirr,ongkir
mskasih,terima kasih
batesin,batasi
bijin,bikin
ngeidealin,mengidealkan
gasalah,enggak salah
brsma,bersama
ugha,juga
semuaaa,semua
kartunin,dibuatkan kartun
abez,habis
duuhh,aduh
kpn2,kapan kapan
pans,fan
kuliyh,kuliah
orgny,orangnya
owalaah,walah
aslinyo,aslinya
alissnyaa,alisnya
komuk,muka
kalahnye,kalahnya
iyaaaa,iya
fakultass,fakultas
smrg,semarang
unyu2,unyu unyu
adekx,adiknya
azaab,azab
gksi,enggak sih
greged,gereget
alamiii,alami
ditayangin,ditayangkan
meranin,memerankan
nontonny,menontonnya
sista2,sister sister
agan2,agan agan
nanget,banget
ngeditnya,mengeditnya
himana,bagaimana
kekgini,kayak begini
subhanaallahh,subhanallah
subhanallahhh,subhanallah
tlsn,tulisan
nagiss,menangis
aneut,banget
trrharu,terharu
subhnallah,subhanallah
allahh,allah
suamiii,suami
dcintai,dicintai
klrga,keluarga
lggeng,langgeng
romantisny,romatisnya
pcar,pacar
kakanga,kakaknya
slw,santai
cpa,siapa
akuu,aku
aelah,alah
orabg,orang
mukanyaa,mukanya
kakakny,kakaknya
woooyy,oi
ngelucu,melucu
bukak,buka
mato,mata
kareno,karena
meker,mikir
indoneaia,indonesia
benarin,membenarkan
jaadii,jadi
nyo,nya
miara,memelihara
jalanani,jalani
dalil2,dalil dalil
sunah2,sunahsunah
benda2,benda benda
rumpiin,rumpi
hotak,botak
ikut2,ikut ikut
jawabanny,jawabannya
mikir2,memikir
melihara,memelihara
oooh,oh
hidupx,hidupnya
ngefans,menggemari
uztad,ustaz
anjingnyaa,anjingnya
pegang2,pegang pegang
ilmh,ilmu
menasehati,menasihati
kelus,kali
hubngan,hubungan
koclak,kocak
syediih,sedih
mirp,mirip
gantheng,ganteng
synk,sayang
ngfans,menggemari
miriiippp,mirip
idungnya,hidungnya
wooow,wow
panglingg,pangling
artisnyaa,artisnya
dtggu,ditunggu
rapih,rapi
sukse,sukses
nih2,nih nih
baruu,baru
kecptan,kecepatan
rmbutnya,rambutnya
giti,begitu
penganten,pengantin
wrn,warna
ne,ini
fans,fan
loksyut,lokasi syuting
amfun,ampun
asuuu,anjing
kuu,ku
dibls,dibalas
ceklist,centang
terusss,terus
tlvn,telepon
trkrim,terkirim
kelaluan,kelakuan
guanteng,ganteng
cucok,cocok
haduh,aduh
mlz,malas
emak2,emak emak
tante2,tante tante
kepoh,kepo
jalanin,janani
repong,repot
ngrusin,mengurusi
dnk,dong
senyumna,senyumnya
ngejelek2in,menjelek jelekkan
hotx,hotnya
cwnya,ceweknya
pasangn,pasangan
aama,sama
lebar2,lebar lebar
sstu,sesuatu
cocokx,cocoknya
emakx,emaknya
cocookk,cocok
kll,kalo
arghhh,ah
ungkapin,ungkapkan
merrid,nikah
yaolohh,ya allah
aee,saja
naggung,tanggung
battt,banget
luthuna,lucunya
astagaaa,astaga
suaraynyaa,suaranya
duanyaa,duanya
coeggg,coeg
koplak,kocak
boss,bos
nyubit,mencubit
dede,adik
gemez,gemas
tium,cium
ppa,ayah
iiihh,ih
dedeknya,adiknya
hadeeuh,aduh
geneeee,begini
yooow,ya
gemezz,gemas
gayax,gayanya
kamunyaa,kamunya
kapaan,kapan
nginjek,menginjak
putihnyaa,putihnya
didatengin,didatangi
ayoklaa,ayolah
srruu,seru
dengeeriin,dengarkan
atuhh,atuh
ngertii,mengerti
apalgi,apalagi
akuh,aku
mesrany,mesranya
jendes,janda
ngggk,enggak
coccokk,cocok
msa,masa
klepek2,klepek klepek
ponakn,ponakan
tantee,tante
gadiss,gadis
tpy,tapi
jnda,janda
bngy,banget
bujngn,bujangan
ngp,mengapa
padetan,padatan
bawa2,bawa bawa
pcaran,pacaran
or,orang
tdak,tidak
prcuma,percuma
hayal,khayal
bapeerr,bawa perasaan
keinget,teringat
merekak,mereka
kreeenn,keren
abisss,habis
pass,pas
personill,personil
lengkapp,lengkap
tdung,tudung
gangguin,mengganggu
lgkah2,langkah langkah
taw,tau
tegaar,tegar
sktlrang,sekarang
tambh,tambah
nangiis,menangis
bundaa,bunda
malsudnya,maksudnya
lluuccuu,lucu
siappa,siapa
martabakk,martabak
skali2,sekali kali
kueren2,keren keren
abgnya,abangnya
warkop,warung kopi
hayuu,ayo
kenapaa,kenapa
ilang2an,hilang hilangan
oom,om
mansetan,bermanset
cadasss,cadas
telefisi,televisi
nikmatin,menikmati
mbahh,mbah
giitu,begitu
mtanya,matanya
cpit,sipit
dee,adik
sumvahh,sumpah
tamvann,tampan
capa,sapa
liaat,lihat
seru2,seru seru
adaa,ada
dinyanyiin,dinyanyikan
seruu,seru
nyengir,menyengir
temennya,temannya
brjdh,berjodoh
akhrt,akhirat
kanggen,kangen
ysh,ya
sypa,siapa
nangisss,menangis
brjodoh,berjodoh
kaliann,kalian
barengg,bareng
kpnpun,kapanpun
mendj,menjadi
merindinggg,merinding
iihh,ih
lhir,lahir
menjdi,menjadi
debay,adik bayi
bangeer,banget
lafazd,lafaz
pmbyran,pembayaran
plsa,pulsa
sokk,sok
sma2,sama sama
ngom,mengomong
makanyaa,makanya
kemakan,termakan
bodhoo,bodoh
ngambeknya,mengambeknya
kebongkar,terbongkar
tapii,tetapi
kasiian,kasihan
diladenin,diladeni
comen,komen
ngtif,negatif
comntr,komentar
kaliannn,kalian
brdiri,berdiri
trserh,terserah
ngedukung,mendukung
dihpus,dihapus
mrekaa,mereka
benerr,benar
baanget,banget
ngetsz,banget
utkmu,untukmu
anj,anjing
merekaa,mereka
kann,kan
yaahh,ya
hijap,hijab
ternodain,ternodai
ngeri2,ngeri ngeri
agk,agak
slhkan,salahkan
jilbabny,jilbabnya
perilakuny,perilakunya
ketaatanny,ketaatannya
kepda,kepada
terjrumus,terjerumus
igtlah,ingatlah
dtgkan,datangkan
benahin,benahi
ohhhh,oh
yapp,ya
jauhh,jauh
bingitt,banget
buka2an,buka bukaan
ngembali,kembali
semngat,semangat
ngerampas,merampas
ngehancurin,menghancurkan
ngungkit2,mengungkit ungkit
kaleee,kali
caranga,caranya
nunduk,menunduk
nyubitt,mencubit
jls2,jelas jelas
supeer,super
inni,ini
appa,apa
hayooo,hayo
adyem,adem
mitnah,memfitnah
tmbm,tembam
cantix,cantik
kriput,keriput
jelex,jelek
mancing2,memancing mancing
kpancing,terpancing
cri,cari
sbenernya,sebenarnya
mikirinnn,memikirkan
mengalahkn,mengalahkan
nyindirin,menyindir
nee,nih
klakuan,kelakuan
mksdx,maksudnya
shabat,sahabat
brbuat,berbuat
mmberi,memberi
sbhabat,sahabat
pnjerumus,penjerumus
tman,teman
shbat,sahabat
melakukn,melakukan
berkluarga,berkeluarga
siapa2,siapa siapa
ketipu,tertipu
mengait2kan,mengaitkan
nyir2,nyinyir
sendri,sendiri
nmbk,menembak
tikung2,tikung tikung
cwok,cowok
bangedd,banget
wuastagah,astaga
sumpeh,sumpah
iyh,iya
kmana,kemana
cantiqs,cantik
kecik,kecil
trlihat,terlihat
mmberikan,memberikan
khidupan,kehidupan
srpti,seperti
dinamakn,dinamakan
sgtu,sebegitu
paati,pasti
kutuu,kutu
setelur2nya,setelur telurnya
khadiran,kehadiran
kel,keluarga
kcil,kecil
kberkahn,keberkahan
kbahagiaan,kebahagiaan
tntram,tentram
hngga,hingga
brpndapat,berpendapat
trutama,terutama
hiraukn,hiraukan
diamkn,diamkan
brsyukur,bersyukur
mmberikn,memberikan
rasakn,rasakan
cari2,cari cari
kesalahanny,kesalahannya
kekuranganny,kekurangannya
seandainy,seandainya
perasaanny,perasaannya
diindonesis,di indonesia
liyatnya,lihatnya
kayahhh,kaya
ala2,ala ala
yook,ayo
siihh,sih
elus2,elus elus
padahl,padahal
kejahatn,kejahatan
slam,salam
ngerendahin,merendahkan
apaalahh,apalah
menyebut2,menyebut nyebut
yoiiu,iya
jdii,jadi
blnja,belanja
brangnya,barangnya
ada2,ada ada
nimpuk,menimpuk
abiss,habis
prlu,perlu
suaranyaa,suaranya
jnagn,jangan
kcwa,kecewa
jaman2,jaman jaman
dket2in,dekat dekati
cobak,coba
britanya,beritanya
tau2,tau tau
mahh,mah
jamam,zaman
paraa,para
seharusny,seharusnya
dasaar,dasar
bergunaa,berguna
kcewa,kecewa
mnusuk,menusuk
blkang,belakang
trmanis,termanis
kaciiaann,kasihan
nyela,menyela
ngejilat,menjilat
deketin,dekati
tayik,tai
halooo,halo
ustzah,ustazah
halow,halo
aduuh,aduh
nyimpen,menyimpan
ngarsipin,mengarsipkan
kngn,kangen
kq,kok
prh,parah
napsuu,nafsu
gmau,enggak mau
luccu,lucu
lahirr,lahir
ceemen,payah
skrnh,sekarang
cerdiik,cerdik
jeniuss,jenius
kurangin,kurangi
kreen,keren
mintk,minta
nyolong,mencuri
rezeqinya,rezekinya
pintr,pintar
dekk,adik
kura2,kura kura
sukkaa,suka
putihh,putih
peduliin,mempedulikan
komntr,komentar
smngat,semangat
dosax,dosanya
pahalax,pahalanya
akhirt,akhirat
tinggalkn,tinggalkan
rumh,rumah
trhtung,terhitung
cerdass,cerdas
tambahh,tambah
polll,pol
ngerespon,merespons
dulurrr,saudara
brusaha,berusaha
lebh,lebih
amin2,amin amin
brhjb,berhijab
mdh2n,mudah mudahan
jlbb,jilbab
dempga,semoga
selmnya,selamanya
tth,mbak
otot2,otot otot
ademm,adem
beginii,begini
cuantek,cantik
iniehh,ini
sayangx,sayangnya
jodohx,jodohnya
kaliaan,kalian
haslnya,hasilnya
kencng,kencang
pmbantu,pembantu
kmbl,kembali
cuchook,cocok
kloop,klop
sempurnaa,sempurna
klihatan,kelihatan
cintax,cintanya
pnuh,penuh
ngrti,mengerti
mantanny,mantannya
jodohny,jodohnya
cantk,cantik
ituuu,itu
kaasian,kasihan
padhl,padahal
pkrin,pikirkan
anakx,anaknya
sia2kan,sia siakan
kreean,keren
berenanh,berenang
pacarr,pacar
bingitss,banget
ngumbar2,mengumbar umbar
romantiss,romantis
cocook,cocok
yaang,yang
bangedt,banget
gde,gede
lutunaaa,lucunya
bikinnn,bikin
lucux,lucunya
ntap,mantap
abgnyaah,abangnya
mungkiin,mungkin
akuhh,aku
manteb,mantap
tebel,tebal
nganggepin,menanggapi
perjabatt,pejabat
makany,makanya
krjaan,pekerjaan
kdang,kadang
knan,kanan
trknal,terkenal
klok,kalo
guw,gue
selaloe,selalu
prhatian,perhatian
hebaat,hebat
ampunn,ampun
liatt,lihat
gehh,gih
jirr,anjir
kayaa,kaya
cempreeng,cempreng
pcran,pacaran
anedh,banget
boro2,boro boro
nyta,nyata
kampungn,kampungan
mnghina,menghina
ngolokin,ejek
dsr,dasar
siriik,sirik
aduuhh,aduh
cemburuu,cemburu
tlog,tolong
sirikk,sirik
dbnding,dibanding
nrka,neraka
s3ndiri,sendiri
bhgiain,bahagiakan
kdua,kedua
prcya,percaya
bhagaia,bahagia
cuco,cocok
mlikk,milik
canci,cantik
aneed,banget
gimanaa,bagaimana
pentingg,penting
krudung,kerudung
oprasiya,operasinya
uwee,gue
itumahh,itumah
berbakiti,berbakti
alhamd,alhamdulillah
slmttt,selamat
ucapin,mengucapkan
tetp,tetap
ditengah2,ditengah tengah
semuanyaa,semuanya
aminn2,amin amin
abs,habis
melahirin,melahirkan
cakeep,cakep
gimn,bagaimana
aamien,amin
lngsing,langsing
smulla,semula
pdhall,padahal
blln,bulan
gtu2,begitu gitu
gataunya,enggak taunya
gtau,enggak tau
fans2,fan fan
gaharus,enggak harus
athoh,atuh
baangg,abang
babangnya,abangnya
abaq,abaqus
abd,abdi
amhp,abdullah makhmud hendropriyono
abgbugil,abg bugil
abgmesum,abg mesum
abu2,abu abu
abubakar,abu bakar
acara‚ bakal,acaranya bakal
adadikompas,ada di kompas
adafildankamibegadang,ada fil dan kamil begadang
adatuh,ada itu
adaloh,ada lo
adala,adalah
adatgorontalo,adat gorontalo
adatnye,adatnya
addmath,add math
adik2,adik adik
adekku,adikku
akk,administrasi kebijakan kesehatan
adren,adrenal
adeuhh,aduh
adh,aduh
adih,aduh
adohh,aduh
aiish,aduh
aish,aduh
affu19indosiar,aff under 19 indosiar
agkya,agaknya
agkya3,agaknya
agama2,agama agama
agama‚,agamanya
agamax,agamanya
agnostic,agnostik
agunh,agung
agung2in,agung agungkan
ahy,agus harimurti yudhoyono
achh,ah
aghh,ah
agiah,ah
arhh,ah
ahlu,ah lu
ahsudalah,ah sudahlah
ahh‚,aha
aheruntukindonesia,aher untuk indonesia
ajusshi,ahjussi
ahlunnar,ahlun nar
ahlussunah,ahlusunah
ahlussunnah,ahlusunah
aheryawan,ahmad heryawan
ahoak,ahok
ahoq,ahok
ahokpastitumbang,ahok pasti tumbang
ahokpecahbelahbangsa,ahok pecah belah bangsa
ahogers,ahoker
aisyah,aisya
ajak2,ajak ajak
ajakalah,ajaklah
ajaran2,ajaran ajaran
akbp,ajun komisaris besar polisi
akp,ajun komisaris polisi
akhir2,akhir akhir
akhinya,akhirnya
akhirx,akhirnya
ahlikul,akhlak
aqiqah,akikah
akhen,aksen
asesoris,aksesori
aksi299,aksi 299
aksi313jokowitakutlengser,aksi 313 jokowi takut lengser
aksi2,aksi aksi
aksibelaislan,aksi bela islam
aksimaksa,aksi maksa
aksinaga299,aksi naga 299
aktingny,aktingnya
aktifis,aktivis
aktivisi,aktivis
aktifitas,aktivitas
aktivitasjokowi,aktivitas jokowi
akutu,aku itu
akutuh,aku itu
akumaupresidenbaru,aku mau presiden baru
akuseorangpendosa,aku seorang pendosa
akuseruji,aku seruji
akusisi,akuisisi
akaun,akun
akun2,akun akun
akutansi,akuntansi
akurr,akur
akur2,akur akur
acut,akut
albanna,al banna
alfathih,al fatih
alfaatihah,al fatihah
alfatihah,al fatihah
alhabib,al habib
aljufri,al jufri
alkafirun,al kafirun
almaidah,al maidah
almaidah51,al maidah 51
almusawa,al musawa
alqaeda,al qaeda
alalala,ala ala
aelaah,alah
ahelah,alah
alaa,alah
ala‚,alah
alaah,alah
alaahh,alah
alambanten,alam banten
alamsekitar,alam sekitar
alamiyah,alamiah
apamnya,alamnya
alang2,alang alang
alasan2,alasan alasan
alasanbikinaksi,alasan bikin aksi
alasannya‚,alasannya
alesanya,alasannya
alqt,alat
alutsista,alat utama sistem pertahanan
alayy,alay
alaikm,alaykum
aleman‚,alemannya
aleksis,alexis
alfaadli,alfadli
alhmdulillah,alhamdulillah
alhamdulillahongkos,alhamdulillah ongkos
ali‚,alia
aliby,alibi
aileen,alien
aelien1stmensive,alien first mensive
aline,alinea
allaah,allah
allahyarham,allah ya rahman
alohmubarbar,allahmu barbar
allahakbar,allahu akbar
allahuakhbar,allahu akbar
allahummagfirli,allahummaghfirli
alumi,alumni
alumni212,alumni 212
alywafa,aly wafa
aman2,aman aman
amatin,amati
amateur,amatir
amstir,amatir
amek,ambek
ambivient,ambient
ambik,ambil
ambil2,ambil ambil
ambisitercapai,ambisi tercapai
ambis,ambisius
amblass,amblas
ambleg,amblek
ambulan,ambulans
amrik,amerika
aminin,aminkan
amiss,amis
amitamit,amit amit
amaroso,amoroso
ampyuunn,ampun
anakonda,anaconda
anakk,anak
aneuk,anak
anak2ku,anak anak ku
anakku,anakku
anlisa,analisis
analisaku,analisisku
ancem2an,ancam ancaman
antabur,ancuran tai burung
andaa,anda
anda‚,anda
andalin,andalkan
andiblz,andi balas
andreopa,andre opa
anehdidunia,aneh di dunia
angan2,angan angan
angeus,angelus
anggep,anggap
aggaran,anggaran
apbd,anggaran pendapatan dan belanja daerah
apbn,anggaran pendapatan dan belanja negara
anggota2,anggota anggota
anggotadpr,anggota dewan perwakilan rakyat
anggotany,anggotanya
angkatan45,angkatan 1945
angkatan66,angkatan 1966
angkatan98,angkatan 1998
angkot,angkutan kota
aniespresiden2019,anies presiden 2019
aniessndi,anies sandi
anime2,anime anime
anismatta,anis matta
ajgg,anjing
ajig,anjing
anjeeng,anjing
anjenk,anjing
anjiing,anjing
anjingg,anjing
anjinxx,anjing
anjyng,anjing
anying,anjing
anzing,anjing
anjing2,anjing anjing
anjing2in,anjing anjingi
anjay,anjir
anjer,anjir
anjiirr,anjir
anjiritt,anjir
anjy,anjir
anjyr,anjir
anshor,ansar
antr,antar
antarabangsa,antara bangsa
ante,antek
antek2,antek antek
antek2nya,antek anteknya
antekny,anteknya
ateknya,anteknya
anty,anti
anti2ny,anti antinya
antihoax,anti hoaks
antijil,anti jaringan islam liberal
antikomunis,anti komunis
antisyiah,anti syiah
antiterorisme,anti terorisme
antitesa,antitesis
antoncharliyan,anton charliyan
antri,antre
antrian,antrean
anthropology,antropologi
aoa,apa
apakk,apa
ape2,apa apa
apa2an,apa apaan
apa2in,apa apakan
apadong,apa dong
apakabss,apa kabar
apkabar,apa kabar
aplg,apa lagi
aplgie,apa lagi
apasalahnya,apa salahnya
apaansi,apa sih
apasi,apa sih
apan,apaan
apann,apaan
apaandah,apaan deh
apaka,apakah
apkah,apakah
apkh,apakah
apain,apakan
apalag,apalah
apaapun,apapun
aparat2,aparat aparat
asn,aparatur sipil negara
apelancau,ape lancau
amsyong,apes
appnya,aplikasinyya
arab2an,arab araban
arabislam,arab islam
arahbaruindonesia,arah baru indonesia
abritase,arbitrase
aromatics,aromatik
artine,artinya
artiny,artinya
aarze,arze
asaan,asahan
asall,asal
asalbukanjokowi,asal bukan jokowi
asbun,asal bunyi
assalammualaikum,asalamualaikum
assalamu,asalamualaikum
adalnya,asalnya
ashar,asar
azas,asas
asset,aset
assets,aset
aset2,aset aset
asiangames2018,asian games 2018
asiangameskita,asian games kita
asymetric,asimetri
assimilate,asimilasi
asibg,asing
asing2,asing asing
asdep,asisten deputi
aselik,asli
asliserunya,asli serunya
asongan2,asongan asongan
appsi,asosiasi pedagang pasar seluruh indonesia
assasin,assassin
assassinations,assassination
asstag,astaga
astagfirllah,astagfirullah
astagfirlloh,astagfirullah
astagfiruloh,astagfirullah
astaghfar,astagfirullah
astaghfirullah,astagfirullah
astaghfirullohal,astagfirullahal
asuog,asu
asuu,asu
azu,asu
asutolol,asu tolol
asuan,asuhan
asysyihaa,asy syifa
aseeqq,asyik
asekk,asyik
asoy,asyik
asyikk,asyik
asik2,asyik asyik
asyikm3nang,asyik menang
attas,atas
atarturk,ataturk
atao,atau
atheis,ateis
atheist,ateis
athies,ateis
